age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,attrition,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,genre_F,genre_M,statut_marital_Célibataire,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Commercial,departement_Consulting,departement_Ressources Humaines,poste_Assistant de Direction,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale
24,2293,2,6,2,0,2,3,4,1,2,3,1,16,1,1,2,1,3,1,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2645,1,6,5,3,4,4,3,4,2,3,0,12,0,2,3,2,2,1,1,4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,2683,1,3,3,2,1,2,3,3,3,3,1,14,1,0,2,3,2,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
35,2014,1,2,2,2,4,3,4,1,3,3,0,13,0,0,3,2,3,1,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
36,3419,9,6,1,1,2,2,1,4,4,3,1,14,0,1,3,5,4,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,5376,2,10,5,3,3,4,1,1,3,3,0,19,0,2,3,1,3,2,1,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
35,1951,1,1,1,0,3,3,4,3,3,3,0,12,0,1,3,4,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
27,2341,1,1,1,0,4,3,1,4,3,3,0,13,0,1,6,2,4,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26,2293,1,1,1,0,1,1,3,3,2,3,0,12,1,0,2,25,3,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
27,8726,1,9,9,8,4,3,3,4,3,3,0,15,0,0,0,8,3,2,1,7,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
30,4011,1,12,12,8,3,3,4,4,3,4,0,23,0,0,2,1,2,2,3,7,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41,19545,1,23,22,15,2,3,3,4,3,3,0,12,1,0,0,12,3,1,15,8,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34,4568,0,10,9,5,2,3,3,3,3,4,0,20,0,0,2,23,4,0,8,7,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
37,3022,4,8,1,0,2,3,2,1,3,4,0,21,0,0,1,19,2,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,5772,4,14,9,6,1,3,4,3,3,4,1,21,0,0,4,5,4,2,0,8,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
35,2269,1,1,1,0,4,4,4,4,3,3,0,19,0,0,2,8,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,5381,9,23,1,0,1,2,3,4,3,3,1,13,1,0,2,1,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,3441,1,2,2,2,3,3,3,3,2,3,1,13,1,0,3,5,4,1,2,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
44,5454,5,9,4,3,2,3,1,3,2,4,1,21,0,1,2,1,5,1,1,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
35,9884,2,10,4,0,3,2,1,3,3,3,1,13,0,1,3,11,2,0,2,3,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26,4157,7,5,2,2,3,2,4,3,2,3,1,19,0,1,2,23,3,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33,13458,1,15,15,14,1,3,4,3,3,3,1,12,0,0,1,1,2,2,8,12,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
35,9069,1,9,9,8,2,3,1,4,2,4,0,22,0,1,3,18,5,2,1,8,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
35,4014,3,4,2,2,3,3,1,3,3,3,1,15,0,1,3,23,4,1,2,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31,5915,3,10,7,7,4,3,4,4,2,4,0,22,0,1,3,7,4,1,1,7,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,5993,1,7,7,5,1,2,3,3,4,3,0,18,0,1,2,1,4,1,0,7,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32,6162,1,9,9,8,1,3,4,2,3,4,1,22,0,1,3,1,3,1,7,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38,2406,1,10,10,3,4,3,4,4,3,3,0,11,0,0,2,29,5,2,9,9,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,18740,5,29,27,3,2,2,3,4,2,3,1,12,0,1,2,7,2,1,13,8,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
59,7637,7,28,21,16,1,3,1,4,2,3,0,11,0,0,3,25,3,1,7,9,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
36,10096,1,17,17,14,3,3,3,2,3,3,0,13,0,3,2,8,3,1,12,8,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
55,14756,2,21,5,0,4,3,3,3,3,3,1,14,0,3,2,8,3,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
36,6499,1,6,6,5,2,2,2,3,3,3,0,13,0,0,3,11,3,2,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
45,9724,2,25,1,0,2,3,1,3,3,3,0,17,0,1,2,7,3,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,2194,4,5,3,2,2,3,1,4,2,3,0,13,0,1,2,1,3,2,1,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,3388,0,2,1,0,4,2,3,1,2,3,1,17,1,1,0,9,3,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,5473,7,20,4,3,1,2,3,4,2,3,0,11,0,0,2,1,1,2,1,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
29,2703,0,6,5,4,3,3,2,4,3,4,0,23,0,1,3,2,3,1,0,4,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,2501,1,1,1,1,3,3,2,2,3,3,0,17,0,0,4,1,4,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,6220,1,10,10,4,2,3,2,2,3,3,0,17,0,2,3,1,3,1,0,9,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,3038,3,5,1,0,2,4,4,2,3,3,0,12,0,0,3,6,3,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,4424,1,11,11,7,3,3,4,4,3,4,0,23,0,0,2,8,4,1,1,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35,4312,0,16,15,13,3,2,1,2,3,3,0,14,0,0,2,1,4,1,2,8,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
45,13245,4,17,0,0,4,3,1,2,4,3,1,14,0,0,3,6,4,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
37,13664,4,16,5,2,1,3,3,1,4,3,0,13,0,0,3,7,4,1,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
46,5021,8,16,4,2,2,3,2,4,3,4,1,22,0,1,2,5,2,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30,5126,1,10,10,8,4,2,4,3,2,3,1,12,0,2,1,1,1,1,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,2859,1,6,6,4,2,2,3,1,3,3,0,18,0,0,3,1,3,1,0,4,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,10239,3,24,1,0,1,3,4,4,3,3,0,14,0,1,4,1,2,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
38,5329,7,17,13,11,2,1,4,4,3,3,1,12,0,3,3,6,3,0,1,9,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,4325,1,5,5,2,1,3,2,3,3,3,0,15,0,0,2,1,2,1,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
56,7260,4,37,6,4,4,1,4,1,2,3,0,11,0,0,3,7,3,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
23,2322,3,3,0,0,3,3,1,3,3,3,0,13,0,1,3,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
51,2075,3,10,4,2,4,3,4,2,3,4,0,23,0,2,4,9,4,1,0,3,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
30,4152,1,11,11,10,3,2,4,1,3,3,0,19,0,3,3,2,3,1,10,8,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
46,9619,1,9,9,8,3,2,4,4,3,3,0,16,1,0,3,9,2,1,4,7,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
40,13503,1,22,22,3,3,2,2,4,2,4,0,22,0,1,3,1,4,2,11,11,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
51,5441,0,11,10,7,3,3,4,4,1,4,1,22,0,0,2,21,4,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
30,5209,1,11,11,8,3,2,2,2,2,3,1,12,0,3,4,4,2,1,2,7,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
46,10673,2,21,10,9,3,2,1,3,2,3,1,13,0,1,5,1,3,2,9,5,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32,5010,1,12,11,8,2,3,3,1,3,3,0,16,0,0,0,6,4,1,5,7,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
54,13549,9,16,4,3,1,3,3,1,1,3,0,12,0,1,5,2,4,1,0,3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
24,4999,0,4,3,2,1,3,3,1,2,4,0,21,0,1,2,3,2,1,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
28,4221,1,5,5,4,2,3,3,2,4,3,0,15,0,0,3,4,3,0,0,4,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
58,13872,0,38,37,10,4,3,3,3,2,3,0,13,0,0,1,10,4,1,1,8,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
44,2042,4,17,3,2,2,3,2,3,4,3,0,12,0,1,3,23,3,0,1,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
37,2073,4,7,3,2,3,3,1,4,3,4,1,22,1,0,3,6,4,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
32,2956,1,1,1,0,4,3,1,4,3,3,0,13,0,0,2,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,2926,1,1,1,0,4,2,4,2,3,3,1,18,1,0,5,6,3,2,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,4809,1,16,16,13,1,3,3,3,3,3,0,14,0,0,3,6,4,1,2,10,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,5163,5,17,1,0,3,2,4,4,4,3,0,14,0,1,2,2,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
59,18844,9,30,3,2,3,2,4,4,3,4,0,21,0,1,3,2,4,0,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
50,18172,3,28,8,3,1,3,2,1,2,3,1,19,0,0,1,1,3,2,0,7,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25,5744,1,6,6,4,3,2,3,4,3,3,1,11,1,0,1,5,3,1,0,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
25,2889,1,2,2,2,4,2,4,3,3,3,0,11,0,2,2,7,1,1,2,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,2871,1,1,0,0,2,3,4,3,3,3,0,15,0,0,5,15,3,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
51,7484,3,23,13,12,1,2,1,3,2,4,0,20,0,0,1,1,4,2,12,8,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
34,6074,1,9,9,7,1,1,3,4,3,4,1,24,1,0,3,7,3,2,0,6,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,17328,2,23,5,3,4,4,4,3,3,3,1,12,0,0,3,26,3,0,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
24,2774,0,6,5,3,2,3,3,3,3,3,0,12,0,1,2,18,1,1,1,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,4505,6,12,1,0,3,2,2,3,3,3,0,15,0,1,3,6,4,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,7428,2,12,5,3,3,3,4,1,3,3,0,12,0,0,3,3,3,1,1,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
34,11631,2,14,11,10,3,2,1,4,3,3,0,12,0,0,6,5,3,1,5,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
36,9738,0,10,9,7,2,3,4,3,3,3,0,14,0,1,6,11,2,2,2,8,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
36,2835,5,7,1,0,1,3,4,1,3,4,0,22,0,1,2,3,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,16959,1,25,25,12,3,3,4,4,4,3,1,12,0,2,3,26,2,2,4,12,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
30,2613,1,10,10,7,1,1,3,3,2,4,0,25,0,3,2,23,3,2,0,9,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,6146,0,8,7,7,3,3,2,1,4,3,0,13,0,1,2,22,2,0,0,7,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
56,4963,9,7,5,4,2,3,2,1,3,3,1,18,1,3,2,14,4,1,4,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,19537,7,23,20,18,1,3,3,3,3,3,0,13,0,0,5,6,3,1,15,15,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
31,6172,4,12,7,7,2,1,3,2,2,3,1,18,1,0,3,6,4,1,7,7,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
26,2368,1,5,5,4,3,2,2,3,2,3,0,19,0,0,3,6,3,1,4,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,10312,1,40,40,10,4,3,4,4,2,3,0,12,1,1,3,23,4,1,15,6,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19,1675,1,0,0,0,4,3,3,4,2,3,1,19,1,0,2,22,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
22,2523,0,3,2,1,3,3,4,3,3,3,0,14,0,1,2,2,1,1,2,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
49,6567,1,16,15,11,3,3,1,3,2,3,0,14,0,0,2,20,4,1,5,11,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
43,4739,4,18,3,2,2,4,3,4,3,3,0,12,0,0,2,28,3,2,1,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,9208,4,16,2,2,3,3,4,4,3,3,0,11,0,0,3,12,3,2,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,4559,3,4,2,2,2,1,3,3,3,3,1,11,1,1,2,20,3,1,2,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
41,8189,3,12,9,7,3,3,3,3,3,3,1,13,0,1,2,9,1,1,0,7,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
26,2942,1,8,8,7,3,3,3,4,3,4,0,23,0,1,3,25,1,1,5,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
36,4941,6,7,3,2,2,3,2,4,3,4,0,20,0,2,0,6,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
51,10650,2,18,4,2,1,1,4,4,3,3,0,15,1,0,2,8,4,2,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39,5902,4,17,15,11,4,2,3,3,4,3,0,14,0,1,1,4,4,1,5,9,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
25,8639,2,6,2,2,1,2,3,4,3,3,0,18,0,0,3,28,3,1,2,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
30,6347,0,12,11,9,3,3,4,4,1,3,1,19,0,0,2,9,3,1,4,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
32,4200,7,10,5,4,1,3,1,1,4,4,0,22,1,0,2,9,3,1,0,4,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
45,3452,5,9,6,5,3,3,4,2,2,3,0,13,0,0,2,29,3,1,0,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
